name,discount_rate,base_price,price,unit_price_text,arrival_info,rating_total_cnt,reward_cash,image_url,amount,amount_unit,quantity,quantity_unit
"목우촌 다리두배 닭볶음탕 (냉장), 1.2kg, 1개",25,11990,8990,(100g당749원),내일(일) 새벽도착 보장,30115,450,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1573656659454758-6749f52e-dc38-4ee8-a9ae-d0257ac63c75.jpg,1.2,kg,1.0,개
"하림 닭 통다리 (냉장), 1kg, 1개",17,16900,14000,"(100g당1,400원)",내일(일) 새벽도착 보장,5213,700,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6155460664205789-943634ea-8cd4-4a58-ab55-5c70805b078d.jpg,1.0,kg,1.0,개
"하림 닭볶음탕용 닭고기 2개입 (냉장), 2000g, 1개",20,16900,13460,(100g당673원),내일(일) 새벽도착 보장,127161,588,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1832588503665780-dfbeb730-77b3-4455-a26b-fe31fc9cd40b.jpg,2000.0,g,1.0,개
"목우촌 무항생제 인증 닭다리살 정육 (냉장), 400g, 2팩",3,16900,16350,"(100g당2,044원)",내일(일) 새벽도착 보장,160,818,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2380451249864036-83a8b57a-a4d3-4cb1-b034-b9e2151023cc.jpg,400.0,g,2.0,팩
"마니커 1등급 닭윗날개 봉 (냉장), 1kg, 1개",15,16990,14440,"(100g당1,444원)",내일(일) 새벽도착 보장,15935,722,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/01/22/18/4/88072db8-3a6c-4619-9d80-20abbda3ad73.jpg,1.0,kg,1.0,개
"하림 닭다리살 (냉장), 600g, 1팩",3,14650,14120,"(100g당2,353원)",내일(일) 새벽도착 보장,39940,706,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/05/26/14/4/bbdb8d6f-cf74-496d-a893-3168bc8092bd.jpg,600.0,g,1.0,팩
"곰곰 1등급 닭다리 (냉장), 1kg, 1개",,,13990,"(100g당1,399원)",내일(일) 새벽도착 보장,7368,700,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5388372368649225-caf6d84e-ae82-41a6-91a1-45243c213baa.jpg,1.0,kg,1.0,개
"하림 자연실록 무항생제 인증 볶음탕용 닭고기 (냉장), 1kg, 1개",11,9990,8860,(100g당886원),내일(일) 새벽도착 보장,68637,443,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/667131794502332-5ee476c5-430e-46eb-bdee-bda76dd99d8a.jpg,1.0,kg,1.0,개
"올품 무항생제 인증 자연이키운닭 다리살 (냉장), 600g, 1팩",2,11980,11650,"(100g당1,942원)",내일(일) 새벽도착 보장,2723,583,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/330423191856571-f0f3285a-28a8-47df-adc6-4164906733c8.jpg,600.0,g,1.0,팩
"올품 닭볶음탕용 닭고기 (냉장), 1kg, 1팩",,,7890,(100g당789원),내일(일) 새벽도착 보장,13317,395,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/363412377265421-63432af4-6fa3-4dae-8958-6109e5bcc74d.jpg,1.0,kg,1.0,팩
"하림 자연실록 무항생제 인증 닭다리 북채 (냉장), 400g, 1개",,,6900,"(100g당1,725원)",내일(일) 새벽도착 보장,63541,345,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2701169499051066-a5e22775-cebf-4fa2-8680-f637c6b0438f.jpg,400.0,g,1.0,개
"하림 두마리 통닭 (냉장), 1860g, 1개",,,15900,(100g당855원),내일(일) 새벽도착 보장,3759,795,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2022/11/23/18/5/cb3ced15-525f-417f-8122-e31f78656600.jpg,1860.0,g,1.0,개
"하림 자연실록 무항생제 인증 닭가슴살 (냉장), 400g, 1개",,,6500,"(100g당1,625원)",내일(일) 새벽도착 보장,55872,325,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2259214699550928-ad1106ba-f046-4e37-813b-71b3e9ce2f71.jpg,400.0,g,1.0,개
"목우촌 무항생제 인증 IQF 닭 통다리 장각 (냉동), 2kg, 1개",7,27800,25800,"(100g당1,290원)",내일(일) 새벽도착 보장,467,1190,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/fndgknmd/0c19260cddc64dab94c7b7a0eac2a666.jpg,2.0,kg,1.0,개
"하림 닭다리 (냉장), 600g, 2개",,,19990,"(100g당1,666원)",내일(일) 새벽도착 보장,3067,1000,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/05/03/14/8/ba1afc0a-8164-4bc9-a6d2-1606fb994a1e.jpg,600.0,g,2.0,개
"하림 참 토종닭 백숙용 (냉장), 1100g, 1개",7,15900,14640,"(100g당1,331원)",내일(일) 새벽도착 보장,27890,732,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/241333452498752-dbf05177-7730-4773-9e5e-93144cc2df0b.jpg,1100.0,g,1.0,개
"하림 세마리 통닭 7호 (냉장), 1950g, 1개",4,18900,17990,(100g당923원),내일(일) 새벽도착 보장,16857,900,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/06/07/18/1/77b03c0e-9f77-42ae-8b6f-1b6188d4535f.jpg,1950.0,g,1.0,개
"하림 두마리 통닭 (냉장), 2kg, 1개",35,19000,12320,(100g당616원),내일(일) 새벽도착 보장,19926,616,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5326640460226-18688b94-712c-490b-955b-d57e041bb287.jpg,2.0,kg,1.0,개
"하림 자연실록 무항생제 인증 닭 안심 (냉장), 350g, 1개",26,8900,6500,"(100g당1,857원)",내일(일) 새벽도착 보장,36337,325,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2262448547856349-e44370ab-141f-4360-ab25-3450bce59ccb.jpg,350.0,g,1.0,개
"하림 자연실록 무항생제 인증 닭봉 윗날개 (냉장), 350g, 1개",10,8700,7830,"(100g당2,237원)",내일(일) 새벽도착 보장,33051,391,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2701221213444791-5baea88c-b9f3-4671-8bb8-fd4c3ba28404.jpg,350.0,g,1.0,개
"목우촌 무항생제 순살 닭고기 닭볶음탕용 (냉장), 600g, 1개",,,9740,"(100g당1,623원)",내일(일) 새벽도착 보장,68,487,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/qxizafry/c88a5fc6d7bb467a8c7f3b1e0bcbd181.jpg,600.0,g,1.0,개
"마니커 1등급 닭아랫날개 윙 (냉장), 1kg, 1개",,,16750,"(100g당1,675원)",내일(일) 새벽도착 보장,7982,838,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2021/01/22/18/0/ce242540-fe08-4a1f-90f1-f453d24cf8cd.jpg,1.0,kg,1.0,개
"하림 커플치킨 통닭 백숙용 (냉장), 550g, 2개",20,13800,10990,(100g당999원),내일(일) 새벽도착 보장,32832,550,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/6750403018670-42f5d096-a89e-4ddb-bd9d-9d517f07f12e.jpg,550.0,g,2.0,개
"하림 IFF 닭가슴살 (냉동), 2kg, 1개",,,19770,(100g당989원),내일(일) 새벽도착 보장,94289,989,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2882595627829337-dda8fe4b-040f-4d3a-9fc2-fa00a275ecf3.jpg,2.0,kg,1.0,개
"하림 다리두배 닭볶음탕용 (냉장), 1.1kg, 1개",,,9900,(100g당900원),내일(일) 새벽도착 보장,173,495,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/laopybln/66cc7ee141c3432b9ad5e3e7dd9ba058.jpg,1.1,kg,1.0,개
"마니커 닭터의자연 무항생제 인증 1등급 닭백숙용 (냉장), 850g, 1개",4,7990,7630,(100g당898원),내일(일) 새벽도착 보장,8491,381,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/04/17/10/6/3d53dbad-4d47-48c5-9f67-6b8444f63042.jpg,850.0,g,1.0,개
"목우촌 무항생제 인증 통닭 (냉장), 1.3kg, 1개",,,8900,(100g당685원),내일(일) 새벽도착 보장,1514,445,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/24/10/6/7d9aabd9-6e18-43d2-8f24-6826bbb499b5.jpg,1.3,kg,1.0,개
"목우촌 무항생제 인증 닭볶음탕용 닭고기 (냉장), 1.2kg, 1개",20,9990,7990,(100g당666원),내일(일) 새벽도착 보장,1776,400,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/947108500969621-aca30dfa-6efd-459f-8e03-7977f8719eb1.jpg,1.2,kg,1.0,개
"마니커 1등급 닭다리살 정육 (냉장), 600g, 1개",,,11900,"(100g당1,983원)",내일(일) 새벽도착 보장,15794,595,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2020/01/13/12/2/98dabcf2-1a66-4273-817c-1d818e2ba204.jpg,600.0,g,1.0,개
"한강식품 IQF 무항생제 닭가슴살 (냉동), 1kg, 1개",20,9990,7990,(100g당799원),내일(일) 새벽도착 보장,18780,400,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1573580344278040-e080394b-3823-40ee-8f3a-dcacfa89a9de.jpg,1.0,kg,1.0,개
"올품 1등급 닭볶음탕용 절단육 진공팩 (냉장), 1kg, 1개",,,7280,(100g당728원),내일(일) 새벽도착 보장,3715,364,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/04/27/14/4/c3e8ab00-6c7c-4da6-a46a-eb94e0916ca3.jpg,1.0,kg,1.0,개
"목우촌 무항생제 인증 닭날개 (냉장), 500g, 1개",,,7780,"(100g당1,556원)",내일(일) 새벽도착 보장,536,389,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2023/05/24/10/9/ac2e92ae-4e41-48f1-9d1a-13d3a7f20ea0.jpg,500.0,g,1.0,개
"마니커 1등급 두마리 영계 6호 (냉장), 500g, 2개입",11,11990,10600,"(100g당1,060원)",내일(일) 새벽도착 보장,24018,530,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3502409454414546-3d994616-fcab-47b1-aa77-33b83e8935ca.jpg,500.0,g,2.0,개입
